Film,Distributor,Modern,Rank,Money1,Money2,Money3,Year,x,y,isDisney,url
The Best Years of Our Lives,RKO Radio Pictures,Warner Bros. Pictures,90,"$503,158,333 ","$23,650,000 ",55000000,1946,20,6,No,https://image.tmdb.org/t/p/w500/gd5EoAU4MM57sW3vlWxJ0NMM8cV.jpg
Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios,Walt Disney Studios,91,"$503,014,704 ","$515,202,542 ",54984300,2019,2,3,Yes,https://image.tmdb.org/t/p/w500/db32LaOibwEliAmSL2jjDF6oDdj.jpg
The Poseidon Adventure,20th Century-Fox,Walt Disney Studios,92,"$502,261,797 ","$84,563,118 ",54902000,1972,4,3,Yes,https://image.tmdb.org/t/p/w500/6RGiA5BfhelU9zoD0b1GAG4GWWf.jpg
The Lord of the Rings: The Fellowship of the Ring,20th Century Fox,Amazon MGM Studios,93,"$501,323,178 ","$316,115,420 ",54799400,2001,6,3,No,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
Twister,Warner Bros. Pictures,Warner Bros. Pictures,94,"$500,304,968 ","$241,830,615 ",54688100,1996,8,3,No,https://image.tmdb.org/t/p/w500/6tagtmPVOG4QqraQ4piUFLoqaoj.jpg
Men in Black,Sony Pictures Releasing,Sony Pictures,95,"$499,651,777 ","$250,690,539 ",54616700,1997,10,3,No,https://image.tmdb.org/t/p/w500/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg
The Bridge on the River Kwai,Columbia Pictures,Sony Pictures,96,"$497,669,333 ","$27,200,000 ",54400000,1957,12,3,No,https://image.tmdb.org/t/p/w500/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg
Super Mario Bros. Movie,Universal Pictures,Universal Pictures,97,NA,NA,NA,2023,14,3,No,https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
Transformers: Revenge of the Fallen,Paramount Pictures,Paramount Pictures,98,"$493,103,400 ","$402,111,870 ",53900900,2009,16,3,No,https://image.tmdb.org/t/p/w500/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg
It's a Mad Mad Mad Mad World,United Artists,Amazon MGM Studios,99,"$492,870,118 ","$46,332,858 ",53875400,1963,18,3,No,https://image.tmdb.org/t/p/w500/j4mWzOisSHFkaqIkq34l2mm8a5K.jpg
Swiss Family Robinson,Walt Disney Studios,Walt Disney Studios,100,"$492,253,520 ","$40,356,000 ",53808000,1960,20,3,Yes,https://image.tmdb.org/t/p/w500/3ZItm1RcdwNuPnCaaqEFGrbVlcO.jpg
